id;x;y;subnet;voltLvl
coord_0;11.3703;53.6367;LV5.303;7
coord_1;11.3742;53.6333;LV5.303;7
coord_2;11.3702;53.6355;LV5.303;7
coord_3;11.3742;53.6357;LV5.303;7
coord_4;11.3719;53.6309;LV5.303;7
coord_5;11.3732;53.6314;LV5.303;7
coord_6;11.3691;53.6374;LV5.303;7
coord_7;11.3741;53.636;LV5.303;7
coord_8;11.371;53.6347;LV5.303;7
coord_9;11.3724;53.6354;LV5.303;7
coord_10;11.3724;53.6337;LV5.303;7
coord_11;11.3726;53.6315;LV5.303;7
coord_12;11.3742;53.6315;LV5.303;7
coord_13;11.3724;53.6379;LV5.303;7
coord_14;11.3678;53.6386;LV5.303;7
coord_15;11.3727;53.6309;LV5.303;7
coord_16;11.3703;53.6359;LV5.303;7
coord_17;11.3725;53.6383;LV5.303;7
coord_18;11.3695;53.6324;LV5.303;7
coord_19;11.3742;53.6329;LV5.303;7
coord_20;11.3729;53.6329;LV5.303;7
coord_21;11.3726;53.6289;LV5.303;7
coord_22;11.3742;53.6387;LV5.303;7
coord_23;11.3724;53.6357;LV5.303;7
coord_24;11.3724;53.6365;LV5.303;7
coord_25;11.3742;53.6325;LV5.303;7
coord_26;11.3741;53.6383;LV5.303;7
coord_27;11.3742;53.6371;LV5.303;7
coord_28;11.3688;53.632;LV5.303;7
coord_29;11.3695;53.6346;LV5.303;7
coord_30;11.3719;53.632;LV5.303;7
coord_31;11.3726;53.6296;LV5.303;7
coord_32;11.3742;53.6379;LV5.303;7
coord_33;11.3703;53.6346;LV5.303;7
coord_34;11.3743;53.6312;LV5.303;7
coord_35;11.3727;53.6304;LV5.303;7
coord_36;11.3724;53.6375;LV5.303;7
coord_37;11.3695;53.6342;LV5.303;7
coord_38;11.3697;53.6378;LV5.303;7
coord_39;11.3695;53.6338;LV5.303;7
coord_40;11.3742;53.6346;LV5.303;7
coord_41;11.3742;53.6364;LV5.303;7
coord_42;11.3688;53.6304;LV5.303;7
coord_43;11.3703;53.6363;LV5.303;7
coord_44;11.3742;53.6336;LV5.303;7
coord_45;11.3724;53.634;LV5.303;7
coord_46;11.3719;53.6324;LV5.303;7
coord_47;11.3749;53.638;LV5.303;7
coord_48;11.3729;53.6318;LV5.303;7
coord_49;11.3688;53.6312;LV5.303;7
coord_50;11.371;53.6351;LV5.303;7
coord_51;11.3726;53.6281;LV5.303;7
coord_52;11.3742;53.6367;LV5.303;7
coord_53;11.3719;53.6313;LV5.303;7
coord_54;11.3724;53.6371;LV5.303;7
coord_55;11.3695;53.6335;LV5.303;7
coord_56;11.3729;53.6333;LV5.303;7
coord_57;11.3742;53.6322;LV5.303;7
coord_58;11.3698;53.6386;LV5.303;7
coord_59;11.3724;53.6347;LV5.303;7
coord_60;11.3726;53.6293;LV5.303;7
coord_61;11.3703;53.6378;LV5.303;7
coord_62;11.3719;53.6333;LV5.303;7
coord_63;11.3703;53.6371;LV5.303;7
coord_64;11.3741;53.6343;LV5.303;7
coord_65;11.3726;53.63;LV5.303;7
coord_66;11.3749;53.6387;LV5.303;7
coord_67;11.3703;53.635;LV5.303;7
coord_68;11.3742;53.634;LV5.303;7
coord_69;11.3703;53.6374;LV5.303;7
coord_70;11.3695;53.632;LV5.303;7
coord_71;11.3695;53.6328;LV5.303;7
coord_72;11.3719;53.6328;LV5.303;7
coord_73;11.369;53.6367;LV5.303;7
coord_74;11.3724;53.6386;LV5.303;7
coord_75;11.3678;53.6382;LV5.303;7
coord_76;11.369;53.637;LV5.303;7
coord_77;11.3702;53.6327;LV5.303;7
coord_78;11.3695;53.6331;LV5.303;7
coord_79;11.3695;53.635;LV5.303;7
coord_80;11.3724;53.6344;LV5.303;7
coord_81;11.3688;53.6308;LV5.303;7
coord_82;11.3724;53.635;LV5.303;7
coord_83;11.3742;53.6375;LV5.303;7
coord_84;11.3726;53.6285;LV5.303;7
coord_85;11.3691;53.6378;LV5.303;7
coord_86;11.3741;53.6318;LV5.303;7
coord_87;11.3697;53.6382;LV5.303;7
coord_88;11.3688;53.6316;LV5.303;7
coord_89;11.3688;53.6324;LV5.303;7
coord_90;11.3719;53.6302;LV5.303;7
coord_91;11.3688;53.6328;LV5.303;7
coord_92;11.3729;53.6322;LV5.303;7
coord_93;11.3704;53.6341;LV5.303;7
coord_94;11.3724;53.6368;LV5.303;7
coord_95;11.3749;53.6383;LV5.303;7
coord_96;11.3729;53.6326;LV5.303;7
coord_97;11.3688;53.63;LV5.303;7
coord_98;11.3715;53.6397;LV5.303;7
coord_99;11.3741;53.635;LV5.303;7
coord_100;11.3719;53.6306;LV5.303;7
coord_101;11.3741;53.6354;LV5.303;7
coord_102;11.3724;53.6361;LV5.303;7
coord_103;11.3719;53.6317;LV5.303;7
coord_104;11.3678;53.6378;LV5.303;7
coord_105;11.3678;53.6374;LV5.303;7
coord_106;11.3678;53.637;LV5.303;7
coord_107;11.3713;53.6386;LV5.303;7
coord_108;11.3678;53.6366;LV5.303;7
coord_109;11.3678;53.6362;LV5.303;7
coord_110;11.3692;53.6456;HV1_MV3.101;3
coord_111;11.3692;53.6456;MV3.101;5
coord_112;11.3745;53.6464;MV3.101;5
coord_113;11.3692;53.6456;MV3.101;3
coord_114;11.3699;53.6441;MV3.101_Feeder1;5
coord_115;11.3707;53.6425;MV3.101_Feeder1;5
coord_116;11.3708;53.6421;MV3.101_Feeder1;5
coord_117;11.3715;53.6411;MV3.101_Feeder1;5
coord_118;11.3733;53.6409;MV3.101_Feeder1;5
coord_119;11.3767;53.641;MV3.101_Feeder1;5
coord_120;11.3776;53.6415;MV3.101_Feeder1;5
coord_121;11.3784;53.6422;MV3.101_Feeder1;5
coord_122;11.3715;53.6397;MV3.101_Feeder1;5
coord_123;11.3719;53.638;MV3.101_Feeder1;5
coord_124;11.3721;53.6371;MV3.101_Feeder1;5
coord_125;11.3706;53.6454;MV3.101_Feeder2;5
coord_126;11.372;53.6453;MV3.101_Feeder2;5
coord_127;11.3732;53.6454;MV3.101_Feeder2;5
coord_128;11.3738;53.6456;MV3.101_Feeder2;5
coord_129;11.3698;53.6485;MV3.101_Feeder3;5
coord_130;11.3708;53.6505;MV3.101_Feeder3;5
coord_131;11.3724;53.6525;MV3.101_Feeder3;5
coord_132;11.374;53.6538;MV3.101_Feeder3;5
coord_133;11.3751;53.6543;MV3.101_Feeder3;5
coord_134;11.3756;53.6545;MV3.101_Feeder3;5
coord_135;11.3777;53.6544;MV3.101_Feeder3;5
coord_136;11.3794;53.6534;MV3.101_Feeder3;5
coord_137;11.3805;53.6519;MV3.101_Feeder3;5
coord_138;11.3807;53.651;MV3.101_Feeder3;5
coord_139;11.3697;53.6457;MV3.101_Feeder4;5
coord_140;11.3701;53.647;MV3.101_Feeder4;5
coord_141;11.3701;53.6477;MV3.101_Feeder4;5
coord_142;11.372;53.6492;MV3.101_Feeder4;5
coord_143;11.3721;53.6464;MV3.101_Feeder4;5
coord_144;11.3691;53.6462;MV3.101_Feeder5;5
coord_145;11.3688;53.6469;MV3.101_Feeder5;5
coord_146;11.3683;53.6489;MV3.101_Feeder5;5
coord_147;11.3682;53.6511;MV3.101_Feeder5;5
coord_148;11.3682;53.6531;MV3.101_Feeder5;5
coord_149;11.3682;53.6541;MV3.101_Feeder5;5
coord_150;11.3686;53.6572;MV3.101_Feeder5;5
coord_151;11.3687;53.6585;MV3.101_Feeder5;5
coord_152;11.3686;53.6592;MV3.101_Feeder5;5
coord_153;11.3685;53.6598;MV3.101_Feeder5;5
coord_154;11.3687;53.6459;MV3.101_Feeder6;5
coord_155;11.3667;53.648;MV3.101_Feeder6;5
coord_156;11.3656;53.6492;MV3.101_Feeder6;5
coord_157;11.3638;53.6514;MV3.101_Feeder6;5
coord_158;11.3637;53.6544;MV3.101_Feeder6;5
coord_159;11.3634;53.6579;MV3.101_Feeder6;5
coord_160;11.3636;53.6603;MV3.101_Feeder6;5
coord_161;11.3646;53.662;MV3.101_Feeder6;5
coord_162;11.3682;53.6457;MV3.101_Feeder7;5
coord_163;11.3669;53.6465;MV3.101_Feeder7;5
coord_164;11.3641;53.6477;MV3.101_Feeder7;5
coord_165;11.3627;53.6482;MV3.101_Feeder7;5
coord_166;11.3604;53.6489;MV3.101_Feeder7;5
coord_167;11.3578;53.6498;MV3.101_Feeder7;5
coord_168;11.357;53.6504;MV3.101_Feeder7;5
coord_169;11.3561;53.6516;MV3.101_Feeder7;5
coord_170;11.3561;53.6524;MV3.101_Feeder7;5
coord_171;11.3584;53.6531;MV3.101_Feeder7;5
