id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
LV5.303 Line 101;LV5.303 Bus 50_1;LV5.303 Bus 33_1;NAYY 4x240SE 0.6/1kV;0.0153312;100;LV5.303;7
LV5.303 Line 99;LV5.303 Bus 57_1;LV5.303 Bus 9_1;NAYY 4x240SE 0.6/1kV;0.0157523;100;LV5.303;7
LV5.303 Line 79;LV5.303 Bus 72_1;LV5.303 Bus 2_1;NAYY 4x240SE 0.6/1kV;0.0338129;100;LV5.303;7
LV5.303 Line 72;LV5.303 Bus 98_1;LV5.303 Bus 64_1;NAYY 4x240SE 0.6/1kV;0.00189914;100;LV5.303;7
LV5.303 Line 78;LV5.303 Bus 29_1;LV5.303 Bus 99_1;NAYY 4x240SE 0.6/1kV;0.00156586;100;LV5.303;7
LV5.303 Line 9;LV5.303 Bus 7_1;LV5.303 Bus 4_1;NAYY 4x240SE 0.6/1kV;0.00439896;100;LV5.303;7
LV5.303 Line 45;LV5.303 Bus 37_1;LV5.303 Bus 36_1;NAYY 4x240SE 0.6/1kV;0.00223482;100;LV5.303;7
LV5.303 Line 74;LV5.303 Bus 94_1;LV5.303 Bus 88_1;NAYY 4x240SE 0.6/1kV;0.00421724;100;LV5.303;7
LV5.303 Line 19;LV5.303 Bus 32_1;LV5.303 Bus 16_1;NAYY 4x240SE 0.6/1kV;0.0115943;100;LV5.303;7
LV5.303 Line 10;LV5.303 Bus 63_1;LV5.303 Bus 85_1;NAYY 4x240SE 0.6/1kV;0.0344866;100;LV5.303;7
LV5.303 Line 64;LV5.303 Bus 27_1;LV5.303 Bus 54_1;NAYY 4x240SE 0.6/1kV;0.00314803;100;LV5.303;7
LV5.303 Line 8;LV5.303 Bus 70_1;LV5.303 Bus 72_2;NAYY 4x240SE 0.6/1kV;0.0228449;100;LV5.303;7
LV5.303 Line 103;LV5.303 Bus 33_2;LV5.303 Bus 32_2;NAYY 4x240SE 0.6/1kV;0.011354;100;LV5.303;7
LV5.303 Line 88;LV5.303 Bus 76_1;LV5.303 Bus 104_1;NAYY 4x240SE 0.6/1kV;0.0185855;100;LV5.303;7
LV5.303 Line 26;LV5.303 Bus 51_1;LV5.303 Bus 73_7;NAYY 4x240SE 0.6/1kV;0.098;100;LV5.303;7
LV5.303 Line 61;LV5.303 Bus 97_1;LV5.303 Bus 34_1;NAYY 4x240SE 0.6/1kV;0.014766;100;LV5.303;7
LV5.303 Line 53;LV5.303 Bus 77_1;LV5.303 Bus 37_2;NAYY 4x240SE 0.6/1kV;0.0337731;100;LV5.303;7
LV5.303 Line 52;LV5.303 Bus 107_1;LV5.303 Bus 10_1;NAYY 4x240SE 0.6/1kV;0.00980013;100;LV5.303;7
LV5.303 Line 21;LV5.303 Bus 8_1;LV5.303 Bus 81_1;NAYY 4x240SE 0.6/1kV;0.00282037;100;LV5.303;7
LV5.303 Line 7;LV5.303 Bus 4_2;LV5.303 Bus 70_2;NAYY 4x240SE 0.6/1kV;0.0333523;100;LV5.303;7
LV5.303 Line 71;LV5.303 Bus 23_1;LV5.303 Bus 98_2;NAYY 4x240SE 0.6/1kV;0.00648856;100;LV5.303;7
LV5.303 Line 44;LV5.303 Bus 55_1;LV5.303 Bus 15_1;NAYY 4x240SE 0.6/1kV;0.00743191;100;LV5.303;7
LV5.303 Line 51;LV5.303 Bus 44_1;LV5.303 Bus 23_2;NAYY 4x240SE 0.6/1kV;0.0182324;100;LV5.303;7
LV5.303 Line 48;LV5.303 Bus 19_1;LV5.303 Bus 61_1;NAYY 4x240SE 0.6/1kV;0.0118531;100;LV5.303;7
