id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
LV5.303 Load 48;LV5.303 Bus 32;H0-L;0.001;0.000395;0.00107527;LV5.303;7
LV5.303 Load 74;LV5.303 Bus 25;H0-C;0.001;0.000395;0.00107527;LV5.303;7
LV5.303 Load 25;LV5.303 Bus 10;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 10;LV5.303 Bus 97;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 38;LV5.303 Bus 30;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 36;LV5.303 Bus 21;G6-A;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 16;LV5.303 Bus 70;G6-A;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 64;LV5.303 Bus 81;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 67;LV5.303 Bus 26;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 61;LV5.303 Bus 50;H0-B;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 96;LV5.303 Bus 20;H0-L;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 42;LV5.303 Bus 56;H0-C;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 58;LV5.303 Bus 2;H0-A;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 81;LV5.303 Bus 5;H0-B;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 55;LV5.303 Bus 49;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 41;LV5.303 Bus 57;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 69;LV5.303 Bus 33;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 85;LV5.303 Bus 62;H0-B;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 86;LV5.303 Bus 42;H0-C;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 83;LV5.303 Bus 39;H0-A;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 97;LV5.303 Bus 51;H0-L;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 3;LV5.303 Bus 92;H0-B;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 77;LV5.303 Bus 14;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 30;LV5.303 Bus 17;H0-G;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 54;LV5.303 Bus 31;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 39;LV5.303 Bus 35;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 11;LV5.303 Bus 27;H0-G;0.001;0.000395;0.00107527;LV5.303;7
LV5.303 Load 88;LV5.303 Bus 9;H0-G;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 59;LV5.303 Bus 54;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 71;LV5.303 Bus 93;H0-A;0.012;0.004743;0.0129032;LV5.303;7
LV5.303 Load 80;LV5.303 Bus 95;H0-G;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 52;LV5.303 Bus 53;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 34;LV5.303 Bus 61;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 63;LV5.303 Bus 29;H0-B;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 57;LV5.303 Bus 45;G3-A;0.009;0.003557;0.00967742;LV5.303;7
LV5.303 Load 19;LV5.303 Bus 60;G3-A;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 95;LV5.303 Bus 34;H0-G;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 28;LV5.303 Bus 84;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 98;LV5.303 Bus 107;H0-A;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 65;LV5.303 Bus 11;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 90;LV5.303 Bus 37;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 78;LV5.303 Bus 48;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 35;LV5.303 Bus 52;H0-C;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 7;LV5.303 Bus 1;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 2;LV5.303 Bus 68;H0-L;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 72;LV5.303 Bus 94;G4-B;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 32;LV5.303 Bus 104;G3-A;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 23;LV5.303 Bus 7;H0-A;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 29;LV5.303 Bus 64;H0-B;0.001;0.000395;0.00107527;LV5.303;7
LV5.303 Load 43;LV5.303 Bus 16;H0-C;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 76;LV5.303 Bus 71;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 5;LV5.303 Bus 23;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 18;LV5.303 Bus 55;H0-C;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 87;LV5.303 Bus 75;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 66;LV5.303 Bus 58;H0-L;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 27;LV5.303 Bus 15;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 46;LV5.303 Bus 46;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 53;LV5.303 Bus 88;G1-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 17;LV5.303 Bus 13;H0-A;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 79;LV5.303 Bus 28;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 91;LV5.303 Bus 47;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 24;LV5.303 Bus 91;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 51;LV5.303 Bus 80;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 60;LV5.303 Bus 98;H0-L;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 14;LV5.303 Bus 83;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 31;LV5.303 Bus 3;H0-L;0.001;0.000395;0.00107527;LV5.303;7
LV5.303 Load 93;LV5.303 Bus 6;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 12;LV5.303 Bus 103;H0-L;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 26;LV5.303 Bus 69;H0-G;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 1;LV5.303 Bus 63;H0-C;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 45;LV5.303 Bus 101;H0-L;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 92;LV5.303 Bus 102;H0-L;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 56;LV5.303 Bus 99;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 20;LV5.303 Bus 86;H0-A;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 15;LV5.303 Bus 105;H0-L;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 70;LV5.303 Bus 24;H0-G;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 37;LV5.303 Bus 96;H0-G;0.008;0.003162;0.00860215;LV5.303;7
LV5.303 Load 84;LV5.303 Bus 66;H0-C;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 21;LV5.303 Bus 4;G6-A;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 68;LV5.303 Bus 22;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 22;LV5.303 Bus 89;G3-A;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 89;LV5.303 Bus 106;H0-G;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 33;LV5.303 Bus 12;H0-A;0.002;0.00079;0.00215054;LV5.303;7
LV5.303 Load 82;LV5.303 Bus 36;H0-B;0.003;0.001186;0.00322581;LV5.303;7
