id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
LV5.303 Bus 27;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_0;LV5.303;7
LV5.303 Bus 82;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_1;LV5.303;7
LV5.303 Bus 19;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_2;LV5.303;7
LV5.303 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_3;LV5.303;7
LV5.303 Bus 86;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_4;LV5.303;7
LV5.303 Bus 45;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_5;LV5.303;7
LV5.303 Bus 31;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_6;LV5.303;7
LV5.303 Bus 81;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_7;LV5.303;7
LV5.303 Bus 62;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_8;LV5.303;7
LV5.303 Bus 71;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_9;LV5.303;7
LV5.303 Bus 76;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_10;LV5.303;7
LV5.303 Bus 70;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_11;LV5.303;7
LV5.303 Bus 101;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_12;LV5.303;7
LV5.303 Bus 32;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_13;LV5.303;7
LV5.303 Bus 30;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_14;LV5.303;7
LV5.303 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_15;LV5.303;7
LV5.303 Bus 61;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_16;LV5.303;7
LV5.303 Bus 16;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_17;LV5.303;7
LV5.303 Bus 36;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_18;LV5.303;7
LV5.303 Bus 40;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_19;LV5.303;7
LV5.303 Bus 79;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_20;LV5.303;7
LV5.303 Bus 100;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_21;LV5.303;7
LV5.303 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_22;LV5.303;7
LV5.303 Bus 49;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_23;LV5.303;7
LV5.303 Bus 57;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_24;LV5.303;7
LV5.303 Bus 59;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_25;LV5.303;7
LV5.303 Bus 26;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_26;LV5.303;7
LV5.303 Bus 42;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_27;LV5.303;7
LV5.303 Bus 15;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_28;LV5.303;7
LV5.303 Bus 64;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_29;LV5.303;7
LV5.303 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_30;LV5.303;7
LV5.303 Bus 102;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_31;LV5.303;7
LV5.303 Bus 75;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_32;LV5.303;7
LV5.303 Bus 18;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_33;LV5.303;7
LV5.303 Bus 20;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_34;LV5.303;7
LV5.303 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_35;LV5.303;7
LV5.303 Bus 33;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_36;LV5.303;7
LV5.303 Bus 98;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_37;LV5.303;7
LV5.303 Bus 35;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_38;LV5.303;7
LV5.303 Bus 23;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_39;LV5.303;7
LV5.303 Bus 56;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_40;LV5.303;7
LV5.303 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_41;LV5.303;7
LV5.303 Bus 29;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_42;LV5.303;7
LV5.303 Bus 95;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_43;LV5.303;7
LV5.303 Bus 85;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_44;LV5.303;7
LV5.303 Bus 105;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_45;LV5.303;7
LV5.303 Bus 93;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_46;LV5.303;7
LV5.303 Bus 66;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_47;LV5.303;7
LV5.303 Bus 72;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_48;LV5.303;7
LV5.303 Bus 25;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_49;LV5.303;7
LV5.303 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_50;LV5.303;7
LV5.303 Bus 94;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_51;LV5.303;7
LV5.303 Bus 87;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_52;LV5.303;7
LV5.303 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_53;LV5.303;7
LV5.303 Bus 50;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_54;LV5.303;7
