node;vm;va;substation;subnet;voltLvl
LV5.303 Bus 27;0.980305;-3.68674;NULL;LV5.303;7
LV5.303 Bus 82;0.993499;-3.44217;NULL;LV5.303;7
LV5.303 Bus 19;0.979363;-3.68824;NULL;LV5.303;7
LV5.303 Bus 5;0.993555;-3.5452;NULL;LV5.303;7
LV5.303 Bus 86;0.981641;-3.54089;NULL;LV5.303;7
LV5.303 Bus 45;0.981906;-3.38237;NULL;LV5.303;7
LV5.303 Bus 31;0.982368;-3.68356;NULL;LV5.303;7
LV5.303 Bus 81;0.993646;-3.55334;NULL;LV5.303;7
LV5.303 Bus 62;0.979234;-3.68965;NULL;LV5.303;7
LV5.303 Bus 71;0.986603;-3.56303;NULL;LV5.303;7
LV5.303 Bus 76;0.983328;-3.52375;NULL;LV5.303;7
LV5.303 Bus 70;0.982324;-3.34973;NULL;LV5.303;7
LV5.303 Bus 101;0.993568;-3.41432;NULL;LV5.303;7
LV5.303 Bus 32;0.992519;-3.59297;NULL;LV5.303;7
LV5.303 Bus 30;0.992589;-3.63528;NULL;LV5.303;7
LV5.303 Bus 4;0.982804;-3.30354;NULL;LV5.303;7
LV5.303 Bus 61;0.980008;-3.6874;NULL;LV5.303;7
LV5.303 Bus 16;0.993579;-3.59632;NULL;LV5.303;7
LV5.303 Bus 36;0.97694;-3.70479;NULL;LV5.303;7
LV5.303 Bus 40;0.993445;-3.43554;NULL;LV5.303;7
LV5.303 Bus 79;0.982521;-3.4662;NULL;LV5.303;7
LV5.303 Bus 100;0.982232;-3.30909;NULL;LV5.303;7
LV5.303 Bus 1;0.99501;-3.59677;NULL;LV5.303;7
LV5.303 Bus 49;0.987026;-3.56651;NULL;LV5.303;7
LV5.303 Bus 57;0.987866;-3.57241;NULL;LV5.303;7
LV5.303 Bus 59;0.993469;-3.42692;NULL;LV5.303;7
LV5.303 Bus 26;0.994844;-3.59361;NULL;LV5.303;7
LV5.303 Bus 42;0.994001;-3.57082;NULL;LV5.303;7
LV5.303 Bus 15;0.977006;-3.70144;NULL;LV5.303;7
LV5.303 Bus 64;0.97839;-3.69519;NULL;LV5.303;7
LV5.303 Bus 11;0.981968;-3.53731;NULL;LV5.303;7
LV5.303 Bus 102;0.982417;-3.30707;NULL;LV5.303;7
LV5.303 Bus 75;0.994457;-3.58496;NULL;LV5.303;7
LV5.303 Bus 18;0.979263;-3.6734;NULL;LV5.303;7
LV5.303 Bus 20;0.993608;-3.41235;NULL;LV5.303;7
LV5.303 Bus 7;0.982716;-3.30378;NULL;LV5.303;7
LV5.303 Bus 33;0.991492;-3.58955;NULL;LV5.303;7
LV5.303 Bus 98;0.97832;-3.69563;NULL;LV5.303;7
LV5.303 Bus 35;0.982891;-3.67783;NULL;LV5.303;7
LV5.303 Bus 23;0.978094;-3.69699;NULL;LV5.303;7
LV5.303 Bus 56;0.993454;-3.51845;NULL;LV5.303;7
LV5.303 Bus 8;0.993679;-3.55549;NULL;LV5.303;7
LV5.303 Bus 29;0.976704;-3.70349;NULL;LV5.303;7
LV5.303 Bus 95;0.980224;-3.68698;NULL;LV5.303;7
LV5.303 Bus 85;0.993619;-3.4487;NULL;LV5.303;7
