id;nodeA;nodeB;type;cond;substation;subnet;voltLvl
LV5.303 Switch 214;MV3.101 Bus 19;MV3.101 Bus 19_1;CB;1;NULL;LV5.303;5
LV5.303 Switch 54;LV5.303 Bus 27;LV5.303 Bus 27_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 53;LV5.303 Bus 27;LV5.303 Bus 27_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 165;LV5.303 Bus 82;LV5.303 Bus 82_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 166;LV5.303 Bus 82;LV5.303 Bus 82_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 39;LV5.303 Bus 19;LV5.303 Bus 19_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 38;LV5.303 Bus 19;LV5.303 Bus 19_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 215;LV5.303 Bus 19;LV5.303 Bus 19_3;LS;1;NULL;LV5.303;7
LV5.303 Switch 216;LV5.303 Bus 19;LV5.303 Bus 19_4;LS;1;NULL;LV5.303;7
LV5.303 Switch 10;LV5.303 Bus 5;LV5.303 Bus 5_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 9;LV5.303 Bus 5;LV5.303 Bus 5_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 174;LV5.303 Bus 86;LV5.303 Bus 86_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 173;LV5.303 Bus 86;LV5.303 Bus 86_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 90;LV5.303 Bus 45;LV5.303 Bus 45_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 62;LV5.303 Bus 31;LV5.303 Bus 31_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 61;LV5.303 Bus 31;LV5.303 Bus 31_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 163;LV5.303 Bus 81;LV5.303 Bus 81_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 164;LV5.303 Bus 81;LV5.303 Bus 81_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 121;LV5.303 Bus 62;LV5.303 Bus 62_1;LS;1;NULL;LV5.303;7
